data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
13590,10-Sep-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 10 September 2020 (as reported), in Tlaquepaque, Jalisco, a person was killed and his/her body was found wrapped in a blanket in Colonia Plan de Oriente. 1 fatality.",1,1612548696
13766,8-Sep-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl; Milenio,"On 8 September 2020, in Guadalajara, Jalisco, several armed men driving a vehicle carried out a drive-by shooting against a man in Colonia Benito Juarez. The victim was a private security guard returning from work. 1 fatality.",1,1612548696
13778,8-Sep-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Metro Gdl; Milenio,"On 8 September 2020, in Tlaquepaque, Jalisco, armed men in a taxi carried out a drive-by shooting against a man in Colonia San Juan. The victim died. Also, a man was shot dead by two armed men in a drive-by incident in Colonia Las Juntitas. 2 fatalities.",2,1612548696
14025,6-Sep-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,24 Horas (Mexico),"Around 6 September 2020 (as reported), in Zapopan, Jalisco, a person was killed and the body was found wrapped in plastic bags and tape in Colonia Villas del Penisur. 1 fatality.",1,1612548696
14273,4-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,La Jornada,"On 4 September 2020, in Zapopan, Jalisco, at least 500 owner and workers of bars, clubs and entertainment establishments demonstrated to denounce that they are still not authorized to operate normally as part of coronavirus protection measures. [size=at least 500]",0,1612548697
14344,3-Sep-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 3 September 2020, in Zapopan, Jalisco, a man was shot dead in a drive-by incident in Colonia Jardines del Valle. 1 fatality.",1,1612548697
14351,3-Sep-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"On 3 September 2020, in Tlaquepaque, Jalisco, a man was shot dead by two armed men in Colonia Las Huertas. 1 fatality.",1,1612548697
14364,3-Sep-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 3 September 2020, in Guadalajara, Jalisco, a man was shot dead and another man shot and injured by two armed individuals in Colonia Heliodoro Hernandez Loza. The victims had their phones stolen, but according to the report, the attack was not connected to a robbery. 1 fatality, 1 injured.",1,1612548697
14444,2-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 2 September 2020, in Guadalajara, Jalisco, patients who suffer from kidney diseases protested outside a center of the Social Security Institute complaining about the lack of medicines and the problems they have had with their treatments. [size=no report]",0,1612548697
14726,30-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,El Universal (Mexico),"On 30 August 2020, in Guadalajara, Jalisco, a group of people protested on the international day of the victims of forced disappearance and demanded justice for these cases. [size=no report]",0,1612548697
15079,28-Aug-20,2020,Violence against civilians,Attack,CJNG: Jalisco New Generation Cartel,Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,La Jornada; El Blog del Narco; La Verdad,"On 28 August 2020, in Tlaquepaque, Jalisco, members of CJNG carried out a drive-by shooting against a group of people in Colonia El Vergel. Five men died and two others were injured. 5 fatalities and 2 injured.",5,1612548697
15105,27-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 27 August 2020, in Guadalajara, Jalisco, several armed men attacked a group of people who were at a house in Colonia Villas de San Juan. The attack was addressed to another person who was not found by the perpetrators when they entered the house. One man died. 1 fatality.",1,1612548697
15268,26-Aug-20,2020,Riots,Mob violence,Rioters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,24 Horas (Mexico),"Around 26 August 2020 (as reported), in Guadalajara, Jalisco, a video was published showing a group of residents attempting to lynch two men who were caught stealing. [size=no report]",0,1612548697
15309,26-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"Around 26 August 2020 (as reported), in Guadalajara, Jalisco, two women were killed and their bodies were found hands tied and one of them with the head wrapped in a plastic bag in Colonia Echeverria. 2 fatalities.",2,1612548697
15442,25-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Pagina 24 Jalisco,"On 25 August 2020, in Zapopan, Jalisco, dozens of people demonstrated to ask for solutions over the lack of water in Fraccionamiento Valle de los Molinos. [size=dozens]",0,1612548697
15452,25-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Metro Gdl,"Around 25 August 2020 (as reported), in Tlaquepaque, Jalisco, a man was killed and his tied body was found in Colonia Hacienda with the co-called coup de grace along with a threatening message accusing the victim of being a thief. 1 fatality.",1,1612548697
15502,24-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"Around 24 August 2020 (as reported), in the municipality of Zapopan, Jalisco, a person was killed and his/her handcuffed and blindfolded body was found at kilometre 18 of the road going to Saltillo. 1 fatality.",1,1612548698
15598,23-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,24 Horas (Mexico),"On 23 August 2020, in Guadalajara, Jalisco, hundreds of FRENA members demonstrated in the Plaza de Armas to demand the resignation of the president of Mexico. [size=hundreds]",0,1612548698
15620,23-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Metro Gdl,"Around 23 August 2020 (as reported), in Talquepaque, Jalisco, a man was shot dead by several armed individuals inside his house in Colonia Buenos Aires. 1 fatality.",1,1612548698
16153,20-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"On 20 August 2020, in Zapopan, Jalisco, armed men driving two vehicles kidnapped an underage boy in Colonia Santa Maria del Pueblito. The boy was found in the same area hours later. He was injured and bore signs of torture. 1 injured.",0,1612548698
16183,20-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Sintesis; Milenio,"On 20 August 2020, in Guadalajara, Jalisco, a group of women protested demanded justice to be made for the abuse of a girl by a police officer. [size=no report]",0,1612548698
16496,17-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"Around 17 August 2020 (month of), in Guadalajara, Jalisco, a man was killed and his body was found in an advanced state of decomposition wrapped in a white blanket in an empty lot in Colonia Nueva Espana. 1 fatality",1,1612548698
16703,15-Aug-20,2020,Riots,Mob violence,Rioters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Metro Gdl,"On 15 August 2020, in Guadalajara, Jalisco, a couple of men who allegedly assaulted a woman were beaten up by neighbors from Colonia San Andres. One of the alleged thieves convulsed due to the beatings. [size=no report]",0,1612548698
16705,15-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,El Proceso,"Around 15 August 2020 (as reported), in Tlaquepaque, Jalisco, two people were killed and their bodies were found dismembered in two plastic bags in Colonia El Campesino. 2 fatalities.",2,1612548698
16707,15-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,La Silla Rota; El Proceso,"On 15 August 2020, in Tonala, Jalisco, two armed men riding a motorcycle carried out a drive-by shooting against a former deputy who was also representative of the PAN party in Colonia Pinar de las Palomas. The victim died. 1 fatality.",1,1612548698
16793,14-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 14 August 2020 (as reported), in Tlaquepaque, Jalisco, a man was killed and his body was found with firearm injuries and the hands tied in Colonia Francisco I. Madero. 1 fatality.",1,1612548698
16841,14-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"On 14 August 2020, in Tlaquepaque, Jalisco, art-craft sellers protested outside the municipal palace demanding permits to set their stalls in the city center. The participants refused to be relocated to other places following the decision of the local government to restructure the city center. [size=no report]",0,1612548698
16888,13-Aug-20,2020,Riots,Mob violence,Rioters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,24 Horas (Mexico),"On 13 August 2020, in Guadalajara, Jalisco, a group of people attempted to lynch a man who was caught stealing in Colonia Artesanos. [size=no report]",0,1612548698
16908,13-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,El Universal (Mexico); Sintesis,"On 13 August 2020, in Guadalajara, Jalisco, students from Guadalajara University and relative of an LGBT activist who was killed, protested demanding justice to be made. [size=no report]",0,1612548698
16916,13-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 13 August 2020, in Guadalajara, Jalisco, a group of former students from rural normal schools protested demanding transparency in the assignment of teaching job positions. [size=no report]",0,1612548699
16967,12-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"Around 12 August 2020 (as reported), in Tonala, Jalisco, a man was killed and the remains of his body were found inside several plastic bags in Colonia La Gigantera. 1 fatality.",1,1612548699
17095,11-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Sintesis,"Around 11 August 2020 (as reported), Zapopan, Jalisco, an LGBT activist was killed and his body was found with a firearm injury in the head. There is no information about the perpetrator. 1 fatality.",1,1612548699
17128,10-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 10 August 2020, in Guadalajara, Jalisco, a group of people demonstrated in Colonia Heliodor Hernandez Loza and blocked the Periferico Norte to demand progress of investigations of disappearance cases. [size=no report]",0,1612548699
17141,10-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 10 August 2020, in Guadalajara, Jalisco, a group of people demonstrated to ask for solutions to the lack of water in Zapopan. [size=no report]",0,1612548699
17230,9-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Noroeste; 24 Horas (Mexico),"On 9 August 2020, in Guadalajara, Jalisco, health workers held a march to demand greater respect for their profession and to call for an end of attacks targeting health workers due to their proximity to the coronavirus. The protesters also demanded the release of a doctor who was arrested in Chiapas for an alleged abuse of authority. [size=no report]",0,1612548699
17241,9-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mexico,Chiapas,Tonala,Tonala,16.0914,-93.7518,El Siglo de Durango,"On 9 August 2020, in Tonala, Chiapas, health workers marched to demand the release of a doctor detained for alleged abuse of authority, to denounce corruption in the state health system and to ask for medicines and medical supplies to treat coronavirus and other diseases. [size=no report]",0,1612548699
17362,8-Aug-20,2020,Violence against civilians,Abduction/forced disappearance,Unidentified Gang (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,El Proceso; Milenio,"On 8 August 2020, in Tonala, Jalisco, several armed individuals wearing hoods and police uniforms entered a store in Colonia San Gaspar and abducted the male store owner. The event was recorded and according to the State Prosecutor's Office the perpetrators were not police officers and are alleged members of an organized crime organization.",0,1612548699
