data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
15391,25-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),SEIU: Service Employees International Union; Health Workers (United States); Labour Group (United States),United States,New York,New York,New York City,40.7142,-74.0059,SEIU 1199 NE,"On 25 August 2020, people including nurses and SEIU members gathered at Jacobi Hospital in New York City (New York) to demand that New York state tax the rich in order to fund health care. [size=no report]",0,1612546444
15393,25-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York),"On 25 August 2020, people gathered in New York-Manhattan (New York) in support of the Black Lives Matter movement and against police brutality and the deaths of both George Floyd and Jacob Blake. [size=no report]",0,1612546444
15580,24-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Gothamist,"On 24 August 2020, hundreds of people gathered in New York-Manhattan (New York) in support of the Black Lives Matter movement and against police brutality and the deaths of both George Floyd and Jacob Blake. [size=hundreds]",0,1612546444
15649,23-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Queens,New York - Queens,40.7308,-73.7958,New York Post,"On 23 August 2020, about 50 people gathered in New York-Queens to protest the poor condition of the local Umbrella Hotel. The hotel opened in 2017 but has become a hub for drug dealing and usage, parties, and violence, according to the protesters. [size=about 50]",0,1612546444
15650,23-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Queens,New York - Queens,40.7308,-73.7958,News 12,"On 23 August 2020, the family of a slain 19-year-old man fatally shot by police in February in New York-Queens (New York) held a rally to demand answers from the police department about the man's killing. [size=no report]",0,1612546444
15753,22-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,AM New York,"On 22 August 2020, people gathered in New York-Manhattan in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=no report]",0,1612546440
15756,22-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Spectrum; Count Love,"On 22 August 2020, a couple hundred surfers gathered at Rockaway Beach in New York-Queens (New York) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. [size=a couple hundred]",0,1612546440
15935,22-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York City,40.7142,-74.0059,New York Post,"On 22 August 2020, 300 gathered outside of city hall in New York City (New York) to protest the Mayor of New York, Bill de Blasio. [size=300]",0,1612546442
15936,22-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Crowd Counting Consortium; Indypendent,"On 22 August 2020, demonstrators gathered outside of the Farley Post Office in New York-Manhattan (New York) to call for the resignation of Postmaster General Louis Dejoy and in opposition to recent changes to USPS policy that they fear may impact mail-in ballots in the 2020 general election. [size=no report]",0,1612546442
15973,22-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Count Love; QNS,"On 22 August 2020, about 100 Black Lives Matter activists gathered in New York-Queens (New York) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The protest was met by a counter protest from Blue Lives Matter activists. [size=about 100] [counter-protest]",0,1612546441
16227,19-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,Queens,New York - Queens,40.7308,-73.7958,AM New York,"On 19 August 2020, more than fifty people gathered in New York-Queens (New York) in support of the Black Lives Matter movement and against police brutality and the death of George Floyd. The protest took place outside the home of Pat Lynch, the president of the Police Benevolent Association. [size=more than fifty]",0,1612546440
